id,title,skills,skills_count
119799945,Оператор ввода данных,"['Деловая переписка', 'Работа с большим объемом информации', 'Точность и внимательность к деталям', 'Битрикс24']",4
120278596,Медицинская сестра/Медицинский брат,"['Медицинская документация', 'Внутривенные инъекции', 'Забор крови', 'Внутримышечные инъекции', 'Инъекции', 'Капельницы', 'Обучение и развитие']",7
119592882,Начинающий инженер-метролог / инженер-лаборант,"['Контроль качества', 'Лабораторная диагностика', 'Деловая переписка', 'Работа с оргтехникой', 'Техническая документация', 'Умение работать в коллективе', 'Делопроизводство', 'Лабораторная работа', 'Электронная почта', 'Метрология', 'Поверка', 'Испытания СИ', 'Взаимодействие с Госстандарт', 'Навыки составления отчетности', 'Ведение архива', 'Электронный документооборот', 'калибровка', 'Химические методы анализа']",18
120321373,Лаборант,"['Контроль качества', 'Контроль качества готовой продукции', 'Внутренний контроль', 'Уход за лабораторной аппаратурой', 'Лабораторная работа']",5
119100275,Регистратор лаборатории,"['Деловая переписка', 'Работа с большим объемом информации', 'Точность и внимательность к деталям', 'Битрикс24']",4
120342842,Лаборант,"['Обучение и развитие', 'Лабораторная работа', 'Навыки работы с первичной документацией', 'оформление документации']",4
119040006,Лаборант в художественную мастерскую,"['Коммуникабельность', 'Инициативность', 'Креативность']",3
120354535,Руководитель лаборатории,"['Документация испытательной лаборатории', 'Управление испытательной лабораторией', 'Руководство коллективом', 'Проведение лабораторных исследований', 'Обработка результатов испытаний', 'Обращение с технической документацией']",6
120342528,Фельдшер-лаборант КДЛ,"['Лабораторная диагностика', 'Биологические исследования']",2
120311831,Главный технолог/технолог на производство,"['Управление качеством', 'Контроль качества', 'Документальное сопровождение']",3
120336291,Лаборант,"['Лабораторная работа', 'Проведение лабораторных исследований', 'Химические методы анализа', 'Производственный контроль', 'Контроль качества', 'Уход за лабораторной аппаратурой']",6
120346725,Лаборант (QA),"['Лабораторная работа', 'Технологии химической промышленности', 'Ответственность', 'Химические методы анализа', 'Умение работать в коллективе', 'Контроль качества готовой продукции', 'Охрана труда и техника безопасности']",7
120243316,Инженер-лаборант (испытание нефти),"['оформление результатов испытаний', 'Проведение лабораторных исследований', 'Уход за лабораторной аппаратурой', 'Ведение отчётности', 'Документация испытательной лаборатории', 'Проведение испытаний', 'Химические методы анализа', 'Обработка результатов испытаний']",8
120185084,Биотехнолог,"['Ответственный подход к работе', 'Обучение персонала', 'Управление персоналом', 'Коммуникабельность, стрессоустойчивость', 'MS Office (Word, Excel, PowerPoint)', 'Работа в условиях многозадачности', 'Высшее образование', 'Организаторские навыки', 'Работа в команде', 'Корпоративная этика', 'Умение организовать работу']",11
120276784,Лаборант химического анализа,"['Лабораторная работа', 'Химические методы анализа', 'Титриметрический анализ (титрование)', 'MS PowerPoint', 'Креативность', 'MS Excel']",6
120239353,Лаборант химического анализа (старший инженер),"['Контроль качества', 'Работа с химреактивами', 'Контроль качества материалов', 'Лаборатория', 'Проверка на соответствие требованиям НД']",5
120275725,Лаборант,"['Лабораторная работа', 'Уход за лабораторной аппаратурой', 'Проведение лабораторных исследований', 'Умение работать в коллективе', 'Ведение документации']",5
120312755,Инженер-лаборант/колорист,"['Офисные программы', 'Коммуникабельность, стрессоустойчивость', 'Пользователь ПК', 'Учет остатков', 'Чистоплотность', 'Способность быстро обучаться', 'Внимательность к мелочам', 'Высокая энергичность и инициативность']",8
120286887,Химик-лаборант (технолог),"['Знание технологических процессов', 'Химические методы анализа', 'Проведение лабораторных исследований', 'Проведение испытаний', 'Обработка результатов испытаний']",5
120193273,Лаборант/Инженер-лаборант (в строительстве),['Контроль качества'],1
120259115,Технолог-лаборант,"['Контроль качества', 'Производственный контроль', 'Технический контроль производства', 'Организаторские навыки', 'Технология производства']",5
119964387,Лаборант ОТК,"['лаборант', 'лаборатория', 'преформа', 'Бережливое производство', 'Управление производством', 'Работа с компьютером', 'Коммуникабельность, ответственность', 'Контроль качества', 'Контроль качества готовой продукции', 'Документация испытательной лаборатории']",10
120338704,"Начальник лаборатории (БСУ, Бетон)","['Документация испытательной лаборатории', 'Проведение испытаний', 'Технологии лесной промышленности', 'Знание нормативной документации ГОСТ и СНиП', 'Аргументация', 'Технологии оборонной промышленности', 'Бетонная смесь', 'Организационно-технологические схемы', 'Технологии лёгкой промышленности', 'Разработка методики испытаний', 'Технический контроль производства', 'Микробиология']",12
120241877,Руководитель биотехнологической лаборатории,"['Руководство коллективом', 'Управление бэклогом', 'Управление знаниями\u200e', 'Управление бюджетом', 'Управление рисками', 'Управление ресурсами', 'Управление инновациями', 'Разработка методики испытаний', 'Проведение лабораторных исследований', 'Обработка результатов испытаний']",10
120280022,Лаборант химического анализа,"['Химические методы анализа', 'Ответственность', 'Исполнительность']",3
120118966,Лаборант ОТК,"['Пользователь ПК', 'Работа в команде', 'Документальное сопровождение', 'Лабораторная работа', 'Контроль качества', 'Ведение документации']",6
119701605,Лаборант АИЛ,"['Контроль качества', 'Ведение документации', 'Умение работать в коллективе', 'оформление документации', 'Навыки составления отчетности', 'Работа с базами данных']",6
116995810,Лаборант-купажист,"['Контроль качества', 'Работа в команде', 'Технический контроль производства']",3
120274182,Лаборант испытательной лаборатории,"['MS Word', 'AutoCAD', 'MS Excel']",3
120317289,Специалист по отбору проб,"['буровые растворы', 'лаборант', 'Бурение скважин', 'Технологии химической промышленности', 'отбор проб', 'химические реагенты', 'Проведение научных исследований', 'Проведение лабораторных исследований']",8
120346322,Лаборант химико-бактериологического анализа,"['MS Outlook', '1С: Предприятие 8', 'Электронный документооборот', 'Первичные документы']",4
120267577,Рентген-лаборант,"['Пользователь ПК', 'Рентгенография']",2
120281182,Лаборант-микробиолог,"['Микробиология', 'Ответственность']",2
119507126,Рентгенолаборант,"['Медицинская документация', 'Медицинское оборудование', 'Работа с мед документацией', 'Знание СанПиН', 'Рентгенология', 'Рентгенография', 'МРТ (магнитно-резонансная томография)', 'КТ']",8
120237688,Конструктор одежды,"['AutoCAD', 'CorelDRAW', 'CorelDRAW Graphics Suite', 'Умение работать в коллективе', 'САПР Ассоль', 'конструктор швейных изделий', 'конструктор трикотажных изделий', 'расчет норм расхода сырья', 'построение лекал', 'конструктор одежды', 'разработка табеля мер', 'технология поузловой обработки изделий']",12
120260291,Лаборант химического анализа,"['Лабораторная работа', 'Химические методы анализа', 'Точность и внимательность к деталям']",3
120089849,"Лаборант, производство лекарственных средств для медицинского применения","['Пользователь ПК', 'Грамотная речь', 'Лабораторная работа', 'Лабораторная диагностика', 'Ведение документации']",5
118825025,Лаборант без опыта (дневные смены),"['Лабораторная работа', 'Ответственность']",2
120281183,Лаборант-микробиолог,"['Микробиология', 'Ответственность']",2
120344229,Лаборант,"['Лабораторная работа', 'Уход за лабораторной аппаратурой']",2
120210216,Оператор / Лаборант (фармацевтическое производство),"['Производственный контроль', 'Работа на производстве', 'Контроль качества']",3
120342993,Лаборант,"['Проведение лабораторных исследований', 'Лабораторная работа', 'Уход за лабораторной аппаратурой', 'Косметология', 'Входной контроль сырья', 'Организация безопасной эксплуатации оборудования', 'Приготовление полуфабрикатов', 'Производственный экологический контроль']",8
120228505,Лаборант-микробиолог,['Лабораторная работа'],1
120304209,Инженер-лаборант,"['Работа в команде', 'Внимательность к мелочам', 'Опытный пользователь ПК, знание MS Office']",3
119960673,"Лаборант (БЕЗ ОПЫТА,НАУЧИМ)","['Аккуратность', 'Высокая обучаемость', 'Ответственность', 'Честность', 'Адекватность']",5
120319188,Лаборант,"['Лабораторная работа', 'Внимательность']",2
120217281,Лаборант испытательной строительной лаборатории,"['знание свойств бетона', 'Стрессоустойчивость', 'Документация испытательной лаборатории', 'Документальное сопровождение', 'Бережная эксплуатация оборудования и инструментов', 'Контроль выполнения задач', 'Проведение испытаний', 'Внимательность', 'Уход за лабораторной аппаратурой', 'Контроль маркировки', 'Ответственность', 'Ведение документации', 'Хранение документов', 'Составление документации']",14
120185369,Лаборант,"['Работа в команде', 'Умение учиться', 'Пользователь ПК', 'Проведение лабораторных исследований', 'Дорожное строительство']",5
120193707,Инженер-лаборант,"['Лабораторная работа', 'Проведение лабораторных исследований', 'Управление испытательной лабораторией', 'Разработка методики испытаний', 'Производственный экологический контроль', 'Проведение научных исследований', 'Аттестация по ОТ и ПБ']",7
119731564,Химик-технолог/химик-разработчик/химик-лаборант,"['Лабораторная работа', 'Химические методы анализа']",2
119942097,Лаборант физико-химического и микробиологического контроля,"['Контроль качества', 'Умение работать в коллективе', 'Управление качеством', 'Технический контроль производства']",4
120067263,Лаборант химического анализа,"['Контроль качества', 'Ведение документации', 'Химические методы анализа']",3
120323625,Лаборант,"['Фармацевтическая химия', 'Биотехнология', 'ИФА-диагностика', 'Уход за лабораторной аппаратурой', 'Проведение лабораторных исследований']",5
120342127,Лаборант,"['Лабораторная работа', 'Проведение испытаний']",2
119960399,Инженер-лаборант,"['Пользователь ПК', 'Документальное сопровождение', 'Проектная документация', 'Строительство', 'оформление документации']",5
119608174,Технолог лакокрасочного производства,['работа с водно-дисперсионными материалами'],1
120231580,Токсиколог/лаборант химического анализа,"['Ветеринария', 'Лабораторная работа', 'Проведение лабораторных исследований', 'Лабораторная диагностика', 'Химические методы анализа']",5
120252228,Лаборант строительной лаборатории,"['Технический контроль производства', 'Работа на производстве', 'Контроль качества', 'оформление документации', 'Работа с претензиями', 'Умение работать в условиях многозадачности']",6
120109441,Лаборант в лабораторию 3D-печати,"['Лабораторная работа', 'Проведение научных исследований', 'Проведение испытаний']",3
120199136,Лаборант,"['Пользователь ПК', 'Работа в команде', 'Навыки составления отчетности', 'Проведение лабораторных исследований']",4
119866132,Лаборант химического анализа,"['Работа в команде', 'Контроль качества', 'Умение планировать', 'Работа в условиях многозадачности', 'Ответственное отношение к работе', 'Организованный', 'Работа на производстве']",7
119548777,Лаборант,"['Химические методы анализа', 'Умение работать в коллективе', 'Уход за лабораторной аппаратурой', 'Документация испытательной лаборатории', 'Проведение лабораторных исследований', 'Технологические карты']",6
119838450,Конструктор одежды,['Дизайн одежды'],1
120357313,Офис-менеджер / Помощник руководителя,"['Строительство', 'Умение работать в команде', 'Пользователь ПК', 'Обучаемость', 'Делопроизводство', 'ППР', 'ТК', 'СОДД', 'Исполнительная документация', 'Дорожное строительство', 'Самостоятельность', 'ПТО', 'Коммуникабельность', 'Контроль', 'Отчёты']",15
120347082,"Заведующий лабораторией (микроклонального разведение растений), Алматы","['Микроклональное размножение', 'Проведение испытаний', 'Разработка методики испытаний', 'Растениеводство', 'Документация испытательной лаборатории', 'Проведение научных исследований', 'Повышение урожайности сельскохозяйственных культур', 'Ответственность', 'Исполнительность', 'Работоспособность', 'Руководство коллективом', 'Организаторские навыки', 'Управление испытательной лабораторией', 'Микробиология', 'Научные коммуникации']",15
119461767,Ветеринарный врач-лаборант,"['Заключение договоров', 'Контроль сроков годности', 'Организаторские навыки', 'Навыки составления отчетности', 'Умение планировать', 'Точность и внимательность к деталям', 'Санитарный контроль', 'Ведение документации', 'Контроль качества', 'Деловое общение', 'Обучение и развитие', 'Умение работать в коллективе', 'Деловая коммуникация', 'Поиск и привлечение клиентов', 'Мониторинг законодательства', 'Корпоративная этика', 'Лабораторная диагностика', 'Умение принимать решения', 'Разработка инструкций', 'Проведение презентаций']",20
117423831,Рентгенолаборант,"['рентгенология', 'Деловое общение', 'Пользователь ПК', 'Бесконфликтность', 'Умение проявлять гибкость', 'Деловая этика', 'Самообразование', 'Санпин', 'Рентгенология', 'классический рентген']",10
119526913,Младший лаборант (помощник лаборанта) Клинико -биохимический отдел,"['Медицинская документация', 'Грамотность', 'Лабораторная диагностика']",3
119600929,Лаборант зерновой лаборатории,"['Работа в команде', 'Готовность к командировкам', 'Способность к обучению и восприятию информации', 'Уверенный пользователь ПК']",4
119873304,Техник-лаборант в отдел хроматографических исследований,"['Химические методы анализа', 'Лабораторная работа', 'Контроль качества']",3
113078741,Лаборант (пищевое производство),['Производственный контроль'],1
119748424,Лаборант,"['Пользователь ПК', 'Производственный контроль', 'Лабораторная работа', 'Умение работать в команде', 'Работа с оргтехникой']",5
119512478,Лаборант-хроматографист,"['Химические методы анализа', 'Умение работать в коллективе', 'Ответственность']",3
120232322,Инженер-лаборант,"['Контроль качества', 'Лабораторная диагностика', 'Проведение лабораторных исследований']",3
120213865,Лаборант,"['Входной контроль сырья', 'Титриметрический анализ (титрование)']",2
120257900,Лаборант клинической диагностики,"['усидчивость, коммуникабельность, неконфликтность']",1
119769604,Младший научный сотрудник (клонирование),"['Лабораторная работа', 'ПЦР-метод', 'Научные исследования', 'Выделение ДНК', 'Написание научных статей', 'Клонирование', 'Форез']",7
119534337,Лаборант - технолог,"['Ответственность', 'Внимательность', 'Лабораторная работа']",3
120198634,Техник-лаборант,"['Инициативность', 'Лабораторная работа', 'Контроль качества', 'работа с документами']",4
120253685,Заведующий агрохимической лабораторией,"['Проведение лабораторных исследований', 'Контроль качества', 'Документальное сопровождение', 'Ответственность', 'MS Office']",5
119788800,Помощник Дизайнера (Дизайн Одежды) Дома Моды AVALON,"['Adobe Photoshop', 'CorelDRAW', 'Adobe Illustrator', 'Дизайн одежды', 'Рисунок от руки', 'Дизайн', 'Разработка дизайн-концепции', 'Дизайн-мышление', 'Графический дизайн', 'Мониторинг трендов', 'Эскиз', 'Конструирование одежды']",12
120200190,Лаборант,"['Лабораторная работа', 'Навыки составления отчетности', 'Химические методы анализа', 'Ведение документации']",4
120010811,Лаборант Братского отдела лабораторного анализа и технических измерений,"['Лабораторная работа', 'Химические методы анализа']",2
119588576,Администратор стоматологической клиники,"['Деловая переписка', 'Телефонные переговоры', 'Навыки межличностного общения', 'Обучение и развитие', 'Навыки продаж']",5
119300428,Лаборант в научно-производственную лабораторию,"['Лабораторная работа', 'Ведение документации', 'Проведение лабораторных исследований', 'Уход за лабораторной аппаратурой', 'Химические методы анализа', 'ПЦР', 'ПЦР в реальном времени', 'Электрофорез', 'ДНК']",9
119452390,МРТ лаборант,"['Медицинское оборудование', 'Умение работать в коллективе', 'Медицинская документация']",3
120313228,Лаборант,"['Работа с оргтехникой', 'Лабораторная работа', 'Ведение документации', 'Умение работать в коллективе', 'Контроль качества']",5
119704839,Инженер-лаборант,"['Ведение документации', 'Производственный контроль', 'Точность и внимательность к деталям', 'Химические методы анализа', 'Работа с оргтехникой', 'Нормативно-техническая документация', 'Разработка инструкций']",7
119652321,Рентген-лаборант,"['Пользователь ПК', 'Грамотная речь', 'Клиентоориентированность', 'Internet']",4
120218184,Конструктор одежды,['Grafis12'],1
119481301,Специалист по контролю качества,"['Контроль качества готовой продукции', 'Инициативность', 'умение оперативно работать', 'способность работать в команде', 'желание учиться и развиваться', 'общительность', 'Целеустремленность', 'умение анализировать и делать выводы', 'системность мышления', 'увлеченность своей профессией', 'точность и внимательность к деталям']",11
119412023,Лаборант,"['Уход за лабораторной аппаратурой', 'Ответственность', 'Лабораторная работа', 'Ведение документации']",4
